,Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance
count,100000.0,100000.0,84998.0,100000.0,100000.0,100000.0,100000.0,100000.0,92998.0,97909.0,98035.0,100000.0,100000.0,90970.0,100000.0,95521.0,98800.0
mean,110.6497,176415.70129814997,4194.170849600523,17.09128,22.47443,72.46604,3.00996,21.06878,30.923342437471774,10.389025115157953,27.75425103279441,1426.220376,32.2851725189436,221.19540507859733,1403.1182166159933,637.4129984078688,-3.0364372469635625e+22
std,686.2447166048133,1429618.0514141545,3183.686166873262,117.40483442734829,129.05741011009846,466.4226212217138,62.647879360488204,14.86010422367809,226.03189164449992,6.789496202377757,193.17733898003283,1155.1290257464573,5.116875070150906,99.7413636134275,8306.041270321723,2043.319327467018,3.1812950083841093e+24
min,-500.0,7005.93,303.6454166666666,-1.0,0.0,1.0,-100.0,-5.0,-3.0,-6.49,0.0,0.23,20.0,1.0,0.0,0.0,-3.333333333333333e+26
25%,24.0,19457.5,1625.5682291666667,3.0,4.0,8.0,1.0,10.0,9.0,5.32,3.0,566.0725,28.05256656125577,144.0,30.306660494686994,74.53400154390508,270.0922090435522
50%,33.0,37578.61,3093.745000000001,6.0,5.0,13.0,3.0,18.0,14.0,9.4,6.0,1166.155,32.30578367171092,219.0,69.24947329972044,135.92568154608836,336.71918978926107
75%,42.0,72790.92,5957.448333333334,7.0,7.0,20.0,5.0,28.0,18.0,14.87,9.0,1945.9625,36.4966630559621,302.0,161.22424910969863,265.7317330059456,470.2201862745742
max,8698.0,24198062.0,15204.633333333331,1798.0,1499.0,5797.0,1496.0,67.0,4397.0,36.97,2597.0,4998.07,50.00000000000001,404.0,82331.0,10000.0,1602.0405189622518
