,Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance
count,99991.0,99991.0,99991.0,99991.0,99991.0,99991.0,99991.0,99991.0,99991.0,99991.0,99991.0,99991.0,99991.0,99991.0,99991.0,99991.0,99991.0
mean,33.31412827154444,45625.22063285695,4029.0635595846493,5.363632726945425,5.519076716904522,14.515866427978517,3.5114260283425507,21.188927003430308,13.46862217599584,10.559244231980877,5.668550169515257,1426.2353597823806,32.2849654259443,220.99524957246152,94.02087976091805,183.94806661146956,401.7613466158383
std,10.628238247928646,31698.017878917766,2961.3685353478613,2.5748565259244156,2.0430102791530738,8.71237489590254,2.3988585639564444,14.753357107939108,5.943469147166678,6.519920911386516,3.680639293348578,1155.1399498301414,5.116886182977742,95.13424598908357,89.67254272154287,174.23812144323767,212.75869734510314
min,14.0,7005.93,303.6454166666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.23,20.0,1.0,0.0,0.0,0.0077596647753352
25%,25.0,19456.495000000003,1791.8533333333332,3.0,4.0,8.0,2.0,10.0,9.0,5.76,3.0,566.05,28.052262379173285,154.0,30.306660494686994,77.01029171125253,270.91198361777947
50%,33.0,35662.88,3093.745000000001,5.0,5.0,13.0,3.0,18.0,14.0,9.52,5.0,1166.23,32.30561409773471,219.0,64.76500700228473,128.32515343759778,336.73122455696387
75%,41.0,64915.92,5371.5250000000015,7.0,7.0,20.0,5.0,28.0,18.0,14.66,8.0,1946.245,36.496340658627545,292.0,133.35590483492365,216.69279085421846,467.6833395522606
max,100.0,134533.32,15204.633333333331,10.0,10.0,100.0,23.0,67.0,28.0,36.97,15.0,4998.07,50.00000000000001,404.0,437.01275293262665,1149.4057853186484,1602.0405189622518
